rank,feature,mean_abs_SHAP,mean_SHAP
1,CCC1=CC=C(C)C=C1,7.272404,0.84004074
2,O=CC1=CC=CC=C1,6.261528,1.0739024
3,CC1=CC=C(OC2=CC=CC=C2)C=C1,4.6182694,-0.05222538
4,C1=CC=C(C2=CC=CC=C2)C=C1,4.162679,-0.21669915
5,C1=CC=CC=C1,3.647067,-0.024169983
6,COP,3.5708597,0.15477364
7,O=C(NC1=CC=CC=C1)C1=CC=CC=C1,2.8392224,0.11143111
8,CCC=O,2.4547067,0.15304653
9,CCCOC,2.4045808,0.09699363
10,CC1=C(O)C=CC=C1,2.3716967,0.25520113
11,CCNC=O,2.2512376,-0.27924216
12,NP,2.2489958,0.36853564
13,CCO,2.0887368,-0.49270174
14,C,1.9925481,-0.25450188
15,C1=COC=N1,1.9826188,-0.06979961
16,COC1=CC=CC=C1,1.9654741,-0.023026006
17,COC1=CC=C(CC2=CC=CC=C2)C=C1,1.9159882,0.25430045
18,CCC,1.7843847,-0.1178849
19,NC1=NC(N)=NC(N)=N1,1.5508981,0.12562588
20,CC1=CC=CC=C1,1.5373077,-0.9306585
